atto_group,doc_type,category,subcategory,oggetto,numero_atto,data_atto,importo_max,importo_sum,cig,cup,beneficiario,accounting_relevant,missing_amount_expected,anomalie
Avviso_232__5050_DOMANDA_VOUCHER_TRASPORTO_SCHEMAA2025,Avviso,Regolamenti,,"Richiesta voucher/contributo per il trasporto degli alunni con disabilità, frequentanti la scuola dell’infanzia, primaria e secondaria di 1° grado (anno 2025). Generalità del genitore o della persona esercitante la potestà genitoriale NOME COGNOME LUOGO E DATA DI NASCITA CELL CODICE FISCALE IBAN Generalità dell’alunno, dichiarazione di frequenza e dati istituto NOME COGNOME LUOGO E DATA DI NASCITA CODICE FISCALE GRADO DI SCUOLA FREQUENTATA (infanzia, primaria, secondaria 1° grado) DENOMINAZIONE DELL’ISTITUTO VIA/PIAZZA N. CIVICO COMUNE PROVINCIA CLASSE FREQUENTATA NELL’A.S. 2025-2026 Residenza anagrafica del nucleo familiare VIA/PIAZZA N. CIVICO COMUNE PROVINCIA Numero di telefono Indirizzo e-mail C H I E D E il voucher/contributo per il trasporto degli alunni con disabilità frequentanti la scuola dell’infanzia, primaria e secondaria di 1° grado (anno 2025) per il suddetto minore con disabilità. A tal fine, consapevole delle conseguenze amministrative e penali derivanti dal rilasciare dichiarazioni false o mendaci, non corrispondenti a verità, nonché della possibilità di controlli diretti ad accertare le informazioni fornite e che la non veridicità delle dichiarazioni comporterà la decadenza del beneficio, ai sensi del D.P.R. 445/2000 artt. 3, 46, 47, 76 dichiara di effettuare la richiesta in osservanza delle disposizioni sulle responsabilità genitoriale di cui agli artt. 316, 337 ter e 337 quater del codice civile, che richiedono il consenso di entrambi i genitori D I C H I ...",,,,0.0,,,,False,False,
Avviso_232__5050_DeterminadiImpegno_Copia_759_2025,Determinazione,Regolamenti,Bando,"Contributi/voucher alle famiglie con figli disabili frequentanti la scuola dell’infanzia, primaria e/o secondaria di 1° grado finalizzati al potenziamento del trasporto degli alunni con disabilità (anno 2025) - Obiettivi di servizio e riparto del contributo di cui all’articolo 1, comma 449, lettera d-octies), della legge 11 dicembre 2016, n. 232, per",108.0,29/12/2025,18000.0,33000.0,,,DIVERSI CITTADINI,True,False,Partita IVA 00000234558 formalmente errata (Checksum fallito)
Avviso_232__5050_VistoContabile,VistoContabile,Contabilità,Bando,,,,18000.0,18000.0,,,DIVERSI CITTADINI,True,False,Partita IVA 00000234558 formalmente errata (Checksum fallito)
Avviso_232__5050_schema_di_AVVISO_PUBBLICO_A_2025,Avviso,Contabilità,Liquidazione,,,,,0.0,,,,True,True,
Avviso_2__Vai,Avviso,Personale,Bando,"“ISTANZA RELATIVA ALLA SELEZIONE INTERNA PER LA PROGRESSIONE VERTICALE “IN DEROGA” DEL PERSONALE DIPENDENTE A TEMPO INDETERMINATO PER LA COPERTURA DI N. 2 DI POSTI APPARTENENTI ALL’AREA DEI FUNZIONARI E DELL’ELEVATA QUALIFICAZIONE (EX CAT. D) - PROFILO PROFESSIONALE “FUNZIONARIO AMMINISTRATIVO” E/O “FUNZIONARIO CONTABILE”, (si deve precisare il profilo professionale scelto Amministrativo o Contabile e farà fede la data e l’ora del protocollo, nel caso di utilizzo del protocollo interno ovvero la data e l’ora della notifica dell’avvenuta consegna del messaggio pec). 3. Il Segretario Generale non assume alcuna responsabilità per dispersioni di domande o per ritardi o disguidi nella trasmissione delle stesse non imputabili direttamente all’Ente; COMUNE DI AVELLA - ACL8JP1 - REG_UFF_PROT - 0006738 - Interno - 25/06/2025 - 09:25 COMUNE DI AVELLA (Provincia di Avellino) Citta’ d’Arte 5 4. Alla domanda dovranno essere allegati: ▪ la copia fotostatica di un valido documento di identità del sottoscrittore; ▪ il curriculum vitae professionale; ▪ gli attestati dei corsi di formazione conseguiti negli ultimi tre anni (3 anni), le certificazioni linguistiche, informatiche e le abilitazioni professionali. Art. 9 - MOTIVI DI ESCLUSIONE. Saranno escluse dalla procedura le domande di partecipazione: a) pervenute oltre il termine di scadenza fissato nel presente avviso; b) pervenute con modalità diverse da quelle indicate all’art. 8 del presente avviso; c) non sottoscritte e non corredate da c...",,,,0.0,,,,True,True,
Avviso_362023__5641_Carta_intestata_Avviso_Appalto_1778764496,Avviso,Ambiente,,"Artt. 62 e ss. del Decreto Legislativo n. 36/2023. Stazione Unica Appaltante della Provincia di Avellino. “PROCEDURA APERTA PER L'AFFIDAMENTO MEDIANTE PARTENARIATO PUBBLICO PRIVATO, AI SENSI DELL'ART. 193, COMMA 3, E DELLART. 176 E SS. DEL D.LGS. N. 36/2023, DELLA CONCESSIONE DEGLI INTERVENTI DI EFFICIENTAMENTO ENERGETICO E DELLA GESTIONE INTEGRATA DEI SERVIZI ENERGETICI DELLE SCUOLE DI PROPRIETÀ DEL COMUNE DI AVELLA”. CUP J24D2500200007 IG B8EDD74FEB Il sottoscritto arch. Pasquale Gerardo Maiella, Responsabile Unico del Progetto, Richiamata Decisione a contrarre adottata con Determinazione R.G. n. 499 del 10/09/2025 (R.S. n. 231 del 03/09/2025) resa dal Responsabile del Servizio Ambiante - UTC del Comune di Avella – Amministrazione delegante, con cui si è avviato il procedimento per l’affidamento della “CONCESSIONE DEGLI INTERVENTI DI EFFICIENTAMENTO ENERGETICO E DELLA GESTIONE INTEGRATA DEI SERVIZI ENERGETICI DELLE SCUOLE DI PROPRIETÀ DEL COMUNE DI AVELLA”, ai sensi del combinato disposto di cui agli artt. 193, comma 3, e 176 e ss. del Decreto Legislativo n. 36/2023, con un metodo di scelta del contraente mediante “procedura aperta” da aggiudicarsi con il “criterio dell’offerta economicamente più vantaggiosa” per l’importo complessivo a base di concessione pari a € 400.000,00, IVA inclusa, ovvero per un canone annuo a base di gara pari ad € 80.000,00, iva compresa e rivalutazione annua, composto da un canone di disponibilità pari ad € 10.000,00 e un canone di servizi pari a...",499.0,10/09/2025,1117481.37,20090.0,,,,True,False,
Avviso_383__5694_DeterminaGenerica_Copia_383_2026,Determinazione,Contabilità,Bando,Approvazione avviso pubblico e schema di domanda per manifestazione di interesse finalizzata alla partecipazione ai Centri Estivi Comunali 2026.,64.0,29/05/2026,,0.0,,,,True,True,
Avviso_383__5694_domanda_centri_estivi,Avviso,Cultura e Turismo,,,,,,0.0,,,,False,False,
Avviso_383__5694_manifestazione_di_interesse_centri_estivi,Avviso,Servizi Demografici,Bando,,,,,0.0,,,,False,False,
Avviso_40__5425_AttestazionePubblicazione,AttestazionePubblicazione,Pubblicazione e Trasparenza,Bando,Atto di indirizzo per la partecipazione all’Avviso pubblico della Regione Campania per il riconoscimento delle Destination Management Organization (DMO) e per la costituzione del Comitato promotore,40.0,24/03/2026,,0.0,,,,False,False,
Avviso_40__5425_DeliberadiGiunta_Copia_40_2026,Delibera,Cultura e Turismo,Bando,"Atto di indirizzo per la partecipazione all’Avviso pubblico della Regione Campania per il riconoscimento delle Destination Management Organization (DMO) e per la costituzione del Comitato promotore Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",,,,0.0,,,,False,False,
Avviso_50__5480_AttestazionePubblicazione,AttestazionePubblicazione,Commercio,Bando,"Candidatura del Distretto Diffuso del Commercio del Baianese (C.F. 92119800644) all’Avviso Pubblico della Regione Campania per il finanziamento di progetti dei Distretti del Commercio – Presa d’atto degli atti del Distretto, della proposta progettuale e del quadro economico – Individuazione della struttura organizzativa competente e nomina del Responsabile Unico del Progetto.",50.0,10/04/2026,,0.0,,,,False,False,
Avviso_50__5480_DeliberadiGiunta_Copia_50_2026,Delibera,Commercio,Bando,"Candidatura del Distretto Diffuso del Commercio del Baianese (C.F. 92119800644) all’Avviso Pubblico della Regione Campania per il finanziamento di progetti dei Distretti del Commercio – Presa d’atto degli atti del Distretto, della proposta progettuale e del quadro economico – Individuazione della struttura organizzativa competente e nomina del Responsabile Unico del Progetto. Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",95.0,14/11/2025,,0.0,,,,True,True,
Avviso_5__5413_DeterminaGenerica_Copia_212_2026,Determinazione,Regolamenti,Bando,Approvazione elenco (Short List) di guide turistiche abilitate. Avviso pubblico approvato con D.D. n. 5 del 13.02.2026.,10.0,24/03/2026,,0.0,,,,True,True,
Avviso_5__5496_DeterminaGenerica_Copia_255_2026,Determinazione,Affari Generali,Bando,Aggiornamento elenco (Short List) di guide turistiche abilitate. Avviso pubblico approvato con D.D. n. 5 del 13.02.2026.,16.0,17/04/2026,,0.0,,,,True,True,
Avviso_70__5602_Avviso_Ambito_A6_Marcato_Marca_1778065691,Avviso,Servizi Sociali,Liquidazione,,70.0,22/02/2024,288453.97,310255.17,,,,True,False,
Avviso_70__5602_allegato_a_modello_di_domanda__1778065691,Avviso,Servizi Sociali,Liquidazione,,,,700.0,1651.2,,,,True,False,
Avviso_752__5034_DeterminaGenerica_Copia_752_2025,Determinazione,Personale,Concorso,"Selezione interna per le progressioni economiche all’interno delle aree, riservata al personale dipendente a tempo indeterminato, inquadrato nelle Aree degli Operatori, degli Operatori Esperti, degli Istruttori, dei Funzionari ed E.Q., del C.C.N.L. del personale non dirigente del Comparto Funzioni Locali. Annualità 2025 – Approvazione schema di Avviso.",67.0,24/12/2025,12800.0,12800.0,,,,True,False,
Avviso_752__5034_VistoContabile,VistoContabile,Contabilità,,,,,,0.0,,,,True,False,
Avviso_758__5041_DeterminadiLiquidazione_Copia_758_2025,Determinazione,Contabilità,Liquidazione,Elezioni Regionali del 23 e 24 novembre 2025. Liquidazione fattura Poste Italiane S.p.A. per servizio di spedizione cartoline–avviso agli elettori residenti all’estero.,110.0,29/12/2025,14398.0,17270.54,,,DIVERSI,True,False,Partita IVA 00023452517 formalmente errata (Checksum fallito)
Avviso_758__5041_VistoContabile,VistoContabile,Contabilità,Liquidazione,,,,14398.0,14398.0,,,DIVERSI,True,False,Partita IVA 00023452517 formalmente errata (Checksum fallito)
Avviso_802021__Vai,Avviso,Personale,Bando,APPROVAZIONE SCHEMA AVVISO PROCEDURA DI INTERPELLO A SEGUITO DI ACCORDO PER LA GESTIONE ASSOCIATA DELLA FORMAZIONE DI ELENCHI DI IDONEI PER LE ASSUNZIONI DI PERSONALE DI CUI ALL’ARTICOLO 3 BIS DEL D.L. N. 80/2021 – ISTRUTTORE COMUNICAZIONE (AREA DEGLI ISTRUTTORI) EX PROFILO DI “ISTRUTTORE COMUNICAZIONE” (EX CAT. C1).,17.0,23/04/2025,,0.0,,,,True,True,
Avviso___4960_Avviso_Consultazione_Pubblica__1765276741,Avviso,Affari Generali,,,,,,0.0,,,,False,False,
Avviso___4996_AVVISO_AI_BENEFICIARI_DEI_PACC_1766056659,Avviso,Servizi Demografici,,,,,,0.0,,,,False,False,
Avviso___5005_ALLEGATO_A_Marcato_1766392541,Avviso,Ambiente,Bando,"AVVISO PUBBLICO PER LA PRESENTAZIONE DELLE CANDITATURE PER LA NOMINA DEI COMPONENTI DELLA COMMISSIONE LOCALE PER IL PAESAGGIO. Il/La sottoscritto/a _________________________________________________________ Nato/a a _________________________________ (____) il _________________________ Cod. Fisc. _______________________, residente in _________________________ (____) alla via/piazza __________________________________________________ nr. ________telefono/cellulare _________________________ e-mail ____________________________pec ____________________________________, Con riferimento all'avviso pubblico per la presentazione delle candidature per la nomina di cinque figure professionali esperte in materia di tutela dell'ambiente/paesaggio, quali componenti della Commissione Locale per il Paesaggio, CHIEDE di partecipare all'Avviso per la nomina dei membri della Commissione Locale per il Paesaggio del Comune di Roccarainola. Dichiara, ai sensi degli articoli 46, 47 e 77-bis del d.P.R. 28 dicembre 2000, n. 445, sotto la propria responsabilità ai fini della partecipazione al presente avviso:  di avere la cittadinanza (in almeno uno degli stati appartenenti all’UE);  di godere dei diritti civili e politici;  di essere in possesso del seguente titolo di studio: Laurea in _________________________________ conseguita in data ____/____/____ presso ___________________________________ con votazione___________;  di essere iscritto presso l'Ordine\Collegio\Albo ______________________________...",,,,0.0,,,,False,False,
Avviso___5233_ElencoNonDiciottenni_2026_5_40_1771057964,Elenco,Servizi Demografici,,,5.0,12/02/2026,,0.0,,,,False,False,
Avviso___5233_ManifestoArticolo33_400620_1771057964,Avviso,Servizi Demografici,,,,,,0.0,,,,False,False,
Avviso___5252_Prot_Par_0000839_del_18-02-202_1771489015,Avviso,Lavori Pubblici,Liquidazione,,,,,0.0,,,,True,True,
Avviso___5252_Prot_Par_0000839_del_18-02-202_1771489016,Avviso,Regolamenti,Nomina,,,,9335000.0,9335000.0,,,,True,False,
Avviso___5252_Prot_Par_0000839_del_18-02-202_1771489017,Avviso,Regolamenti,,,,,,0.0,,,,False,False,
Avviso___5369_Avviso_pubblico_Piano_Anticorr_1773228091,Avviso,Regolamenti,Bando,,,,,0.0,,,,False,False,
Avviso___5369_Modulo_osservazioni_per_i_citt_1773228091,Avviso,Regolamenti,,"“Procedura aperta alla consultazione per l’aggiornamento del piano triennale di prevenzione della corruzione e della trasparenza (P.T.P.C.T.) 2026/2028 del Comune di Avella (AV)”. Il sottoscritto (cognome e nome) ______________________________________ nato a _________________ il __________, residente a _______________________ in via/corso/piazza _________________________________________________ eventuali recapiti: tel ____________, email __________________________, P.E.C.__________________________, in qualità di _____________________________________________ (specificare la tipologia del soggetto portatore di interesse e la categoria di appartenenza: ad esempio organizzazioni sindacali, rappresentative, enti o associazioni, ...), ai fini dell’aggiornamento del Piano Triennale di Prevenzione della Corruzione e della Trasparenza 2025-2027, come approvato con deliberazione di G.C. n. 37/2025 del Comune di Avella (AV), formula i seguenti SUGGERIMENTI/PROPOSTE/OSSERVAZIONI ________________________________________________________________________________ ________________________________________________________________________________ ________________________________________________________________________________ ________________________________________________________________________________ ________________________________________________________________________________ Informativa per il trattamento dei dati personali Il sottoscritto è informato che i dati personali forniti con la...",,,,0.0,,,,False,False,
Avviso___5530_Copia_con_segnatura_Prot-N-000_1777270980,Avviso,Lavori Pubblici,Bando,AVVISO PUBBLICO PER LA PRESENTAZIONE DELLE CANDIDATURE PER LA NOMINA DEI COMPONENTI DELLA COMMISSIONE LOCALE PER IL PAESAGGIO – RIAPERTURA TERMINI.,,,20.0,20.0,,,,True,False,
Avviso___5695_domanda_centri_estivi_Marcato_1780052066,Avviso,Cultura e Turismo,,,,,,0.0,,,,False,False,
Avviso___5695_manifestazione_di_interesse_ce_1780052066,Avviso,Servizi Demografici,Bando,,,,,0.0,,,,False,False,
Avviso___Vai,Avviso,Regolamenti,Bando,"MANIFESTAZIONE DI INTERESSE PAR GOL. Pubblicità Il Presente Avviso viene pubblicato all’ Albo pretorio On-line. Avella lì, 29/10/2025",25.0,29/02/2024,2900.0,4907.0,,,Banco Alimentare Campania ONLUS,True,True,
Avviso___allegato1767355975,Avviso,Contabilità,,,,,,0.0,,,,False,False,
Avviso___allegato1767356020,Avviso,Servizi Demografici,,,,,,0.0,,,,False,False,
Avviso___allegato1777975763,Avviso,Contabilità,,,10963.0,08/10/2025,,0.0,,,,False,False,
Avviso___allegato1778056201,Avviso,Contabilità,,,8659.0,13/08/2025,,0.0,,,,False,False,
Avviso___allegato1779875584,Avviso,Contabilità,,,5292.0,06/05/2026,,0.0,,,,False,False,
Avviso___allegato1780049626,Avviso,Contabilità,,,5256.0,05/05/2026,,0.0,,,,False,False,
Avviso___allegato1780571098,Avviso,Contabilità,,,5558.0,12/05/2026,,0.0,,,,True,True,
Bando_10__5150_AttestazionePubblicazione,AttestazionePubblicazione,Pubblicazione e Trasparenza,Bando,Bando “Musei archivi biblioteche 2026-2028”,10.0,27/01/2026,,0.0,,,,False,False,
Bando_10__5150_DeliberadiGiunta_Copia_10_2026,Delibera,Servizi Sociali,Bando,"Bando “Musei archivi biblioteche 2026-2028” Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",,,,0.0,,,,False,False,
Bando_178__Vai,Bando,Urbanistica,Approvazione Progetto,"Piano di Sviluppo per il recupero Urbano e Paesaggistico dell'area Sportiva, Naturalistica e Culturale del Fusaro. Partecipazione al bando emanato dalla Presidenza del Consiglio dei Ministri “Bando per la selezione di piani di sviluppo in aree dismesse o in disuso (articolo 1, comma 146 e seguenti, della Legge N. 178 Del 2020)” e Approvazione Progetto Esecutivo. Cup J27D25000050006 Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Si ALAIA ANNA VICESINDACO Si BIANCARDI LUIGI ASSESSORE Si BIANCARDI GIOVANNI ASSESSORE Si CERBONE SANTINA ASSESSORE Si Tot. 5 Tot. 0 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it. pubblico per la selezione di Piani di Sviluppo in aree dismesse o in disuso, di cui all’articolo 1, commi 146 e seguenti, della Legge n. 178 del 2020. DI DARE ATTO: CHE il codice CUP del progetto è il seguente: J27D25000050006; DI DISPORRE, per l’effetto, con espressa indicazione ai responsabili della programmazione di settore ed economico finanziaria, l’inserimento della predetta opera nel DUP e programma Triennale delle OO.PP. del periodo di riferimento; DI DICHIARARE la presente",52.0,03/04/2025,4518910.41,9037820.82,,J27D25000050006,,True,True,
Bando_294__5567_DeterminaaContrarre_Copia_294_2026,Determinazione,Contabilità,Liquidazione,"Affidamento diretto dei servizi socio-psico-educativi previsti dal progetto “LEGAMI SICURI - Rafforzare la Protezione, Educare alla Consapevolezza e Riparare la Genitorialità nel Territorio di Avella (AV)”, finanziato dalla Presidenza del Consiglio dei Ministri – Dipartimento per le Politiche della Famiglia (bando “Insieme si Vince”). Impegno di spesa di 37.206.00 € (IVA e oneri inclusi).",52.0,28/04/2026,750000.0,222206.0,BB643CA1EA,J21J25002210001,PEDAGO DREAMS SOCIETA’ A RESPONSABILITA LIMITATA P.IVA,True,False,
Bando_294__5567_VistoContabile,VistoContabile,Contabilità,Bando,,,,37206.0,37206.0,BB643CA1EA,J21J25002210001,PEDAGO DREAMS SOCIETA’ A RESPONSABILITA LIMITATA P.IVA,True,False,
Bando_44__Vai,Bando,Contabilità,Bando,"Il Comune di Avella promuove la partecipazione al Campus Estivo 2025, rivolto a bambini e ragazzi residenti nel Comune, di età compresa tra i 3 e i 17 anni compiuti. Art. 2 – Periodo di svolgimento: Il Campus si terrà nel periodo compreso tra il 30 giugno 2025 e il 25 luglio 2025 ( lunedi – venerdi, ore 9.00 – 13.00). Le attività saranno organizzate su base settimanale o quindicinale, secondo un programma che verrà successivamente definito. Art. 3 – Numero di posti disponibili: Sono disponibili n. 25 posti complessivi. Nel caso in cui il numero delle domande superi i posti disponibili, l’Amministrazione potrà suddividere i partecipanti in due gruppi: - 1° turno: 30 giugno – 11 luglio - 2° turno: 14 – 25 luglio. Art. 4 – Preferenza per i turni: I partecipanti dovranno indicare nella domanda la preferenza tra il primo o il secondo turno. La preferenza sarà utilizzata esclusivamente in caso di eccedenza rispetto ai posti disponibili. Art. 5 – Inclusione: La partecipazione è gratuita. È favorita l’inclusione sociale. Le eventuali esigenze specifiche possono essere indicate nel modulo di iscrizione e saranno oggetto di valutazione da parte degli uffici. Art. 6 – Modalità e scadenza per la presentazione delle domande: Le domande di partecipazione dovranno essere redatte sull’apposito modulo predisposto dall’Ente e presentate entro e non oltre il 25 giugno 2025 ore 12.00 tramite: COMUNE DI AVELLA - ACL8JP1 - REG_UFF_PROT - 0006203 - Uscita - 12/06/2025 - 16:06 COMUNE DI AVELLA Provi...",,,,0.0,,,,False,False,
Bando_8__5126_AttestazionePubblicazione,AttestazionePubblicazione,Pubblicazione e Trasparenza,Bando,"Bando “Ecosistemi Culturali al Sud – Italia 2025” promosso dalla Fondazione CDP – Cassa Depositi e Prestiti, per la valorizzazione del patrimonio artistico, culturale e paesaggistico comunale. Atto di indirizzo.",8.0,22/01/2026,,0.0,,,,False,False,
Bando_8__5126_DeliberadiGiunta_Copia_8_2026,Delibera,Contenzioso,Bando,"Bando “Ecosistemi Culturali al Sud – Italia 2025” promosso dalla Fondazione CDP – Cassa Depositi e Prestiti, per la valorizzazione del patrimonio artistico, culturale e paesaggistico comunale. Atto di indirizzo. Nominativo Ruolo Presente Assente Da remoto BIANCARDI VINCENZO SINDACO Presente ALAIA ANNA VICESINDACO Presente BIANCARDI LUIGI ASSESSORE Presente BIANCARDI GIOVANNI ASSESSORE Presente CERBONE SANTINA ASSESSORE Presente Tot. 5 Tot. 0 COPIA Piazza Municipio n. 1, C.A.P: 83021 - Avella (AV); P. IVA 00248800641; Tel/Fax 081.8259343; PEC: comune.avella@cert.irpinianet.eu; http://www.comune.avella.av.it.",,,,0.0,,,,True,True,
Bando_8__5132_DeterminaGenerica_Copia_49_2026,Determinazione,Regolamenti,Bando,Bando “Ecosistemi culturali al Sud Italia 2025” Fondazione CDP. Deliberazione di Giunta Comunale n. 8 del 22/01/2026 (atto di indirizzo). Approvazione Avviso pubblico di Manifestazione di interesse per l’individuazione di un Ente del Terzo Settore (ETS) iscritto al RUNTS quale soggetto proponente/capofila e partner del Comune di Avella per la riqualificazione e valorizzazione della Chiesa di San Filippo Neri (“Chiesetta dell’Orfanotrofio”) e relativi allegati.,1.0,26/01/2026,,0.0,,,,True,True,
